ce74dfdf123b_15_mask.gif	362	409	1051	1649
eefc0d8c94f0_13_mask.gif	253	189	850	1696
be86e79f1225_10_mask.gif	470	455	1028	1382
ebfdf6ec7ede_12_mask.gif	233	343	877	1586
c9f382c7349e_07_mask.gif	369	423	945	1490
bf9932f7aca8_10_mask.gif	518	533	1043	1261
fc5f1a3a66cf_03_mask.gif	373	289	1001	1462
a46baa0b3ac0_15_mask.gif	182	278	912	1652
c502287be9f6_10_mask.gif	244	19	1048	1354
bf9932f7aca8_06_mask.gif	517	348	1030	1585
7abaa38c227f_14_mask.gif	470	327	992	1788
28d9a149cb02_12_mask.gif	201	402	853	1490
98ee0624de87_16_mask.gif	464	517	1077	1589
c502287be9f6_01_mask.gif	120	501	1126	1514
304437bad7ff_06_mask.gif	493	292	1034	1541
61060ada97c9_08_mask.gif	119	521	960	1869
9274d0b3caa8_10_mask.gif	462	380	1084	1301
304437bad7ff_04_mask.gif	491	198	1042	1472
db09fec614d2_01_mask.gif	333	509	1055	1322
56023a17481b_09_mask.gif	242	654	859	1258
6d375bc2ece1_03_mask.gif	407	153	1022	1417
6c0cd487abcd_05_mask.gif	512	175	1064	1827
6d77433cc7ce_12_mask.gif	312	93	1042	1646
9c2e82c23803_12_mask.gif	512	184	1035	1565
c52b272a5329_04_mask.gif	344	216	977	1496
dc1c5c2b9e49_05_mask.gif	207	110	886	1816
3789e15178c7_03_mask.gif	352	226	962	1451
768f299c36e1_12_mask.gif	383	177	890	1641
dc1c5c2b9e49_06_mask.gif	187	245	948	1834
dd70a0a51e3b_15_mask.gif	246	487	953	1784
6c0cd487abcd_16_mask.gif	512	590	1166	1633
2cb91c2543fa_03_mask.gif	474	196	1082	1462
cf5add31c130_04_mask.gif	474	111	1043	1693
2af7c265531e_16_mask.gif	352	595	991	1616
bb2f95262773_03_mask.gif	259	206	909	1417
7251c8797749_02_mask.gif	310	373	890	1270
9cc257b449d0_03_mask.gif	338	357	1009	1397
86c10c8c6206_02_mask.gif	244	373	909	1274
169f5f6d8c9d_13_mask.gif	281	156	933	1761
11acc40dc0ea_07_mask.gif	282	365	973	1686
28d9a149cb02_05_mask.gif	202	278	837	1450
fecea3036c59_10_mask.gif	377	237	1100	1239
3c6acfceb552_14_mask.gif	485	377	1009	1655
e1d2c25f3510_05_mask.gif	279	180	836	1737
ba7e7421003b_07_mask.gif	307	475	1003	1680
4fc2470c0f7b_12_mask.gif	227	101	875	1589
fc5f1a3a66cf_09_mask.gif	364	607	987	1334
0cdf5b5d0ce1_03_mask.gif	321	244	899	1461
880fec285c06_15_mask.gif	326	498	1015	1793
3f3e362dea23_11_mask.gif	289	356	1049	1488
3f202616a2b9_10_mask.gif	322	385	861	1286
a56f923399ca_12_mask.gif	305	185	973	1606
316bbfd3d93d_05_mask.gif	430	246	970	1579
69fba9e8f572_04_mask.gif	314	181	883	1658
4dc8a7fe7c02_08_mask.gif	289	586	908	1607
880ab8468df2_03_mask.gif	377	185	1091	1539
c3614abc7405_16_mask.gif	360	498	1021	1490
2faf504842df_01_mask.gif	336	578	913	1285
a7b9e343cf6b_07_mask.gif	231	451	862	1515
6c3470c34408_15_mask.gif	307	323	881	1602
c24b8293eceb_09_mask.gif	443	622	1066	1286
2cb06c1f5bb1_13_mask.gif	220	80	854	1892
880fec285c06_06_mask.gif	323	264	951	1604
79a7691a90b1_06_mask.gif	490	353	989	1558
bf9a32258ef4_09_mask.gif	190	621	856	1223
c87688f6960e_06_mask.gif	269	265	838	1540
2f39abb12388_07_mask.gif	460	498	1067	1613
1ae8a68a40e4_11_mask.gif	323	140	898	1456
6c3470c34408_04_mask.gif	306	200	861	1646
33a310ea7462_15_mask.gif	398	410	1048	1629
64f701f36437_04_mask.gif	462	136	1049	1555
34b0c08544a5_08_mask.gif	279	504	894	1514
ba7e7421003b_03_mask.gif	315	246	997	1466
d8216041ffa9_09_mask.gif	493	535	1067	1289
88bc32b9e1d9_14_mask.gif	198	249	865	1712
42d81612e2ce_04_mask.gif	484	72	1059	1654
66fea07e1152_10_mask.gif	318	340	886	1275
3c16409ab9db_06_mask.gif	501	313	1007	1610
888e04d96663_11_mask.gif	325	274	981	1444
cf89c3220bc4_07_mask.gif	306	475	966	1656
5d95d80e10a9_11_mask.gif	348	295	880	1496
5fb012d30fd9_15_mask.gif	508	415	1071	1525
9ab2a45de8c7_14_mask.gif	388	207	1037	1838
a7c1ef8d9cc9_03_mask.gif	412	210	1061	1471
fa613ac8eac5_09_mask.gif	259	604	846	1251
de3ca5ec1e59_06_mask.gif	405	243	983	1543
293a0fa72e5b_05_mask.gif	329	113	830	1533
e597d76a0c33_01_mask.gif	394	615	1039	1412
